title,polarity,timestamp
RT Al igual que otras enfermedades respiratorias el #COVID19 puede causar síntomas leves como secreción nasal dolor de garg…,neu,2020-11-26 00:03:39+00:00
In calculus terms regarding BC's new cases of #COVID19 the integral remains the same (i.e the area under the curve) but the derivatives (first and second) have changed Fraser Health #COVID19BC,pos,2020-11-26 00:04:54+00:00
Reminder any group of individuals who do not live together that gather—even if it’s outside—is a risky way to spend the holidays For more tips on how to celebrate safely during #COVID19 visit our blog https://t.co/3iwyCI4vYV,pos,2020-11-26 00:05:02+00:00
RT De dentro da UTI 80 de ocupação #COVID19 #Covid_19 #COVIDSecondWave,neu,2020-11-26 00:03:43+00:00
Los colaboradores cubanos fieles al ejemplo de Fidel combatimos la #COVID19 #FidelPorSiempre #CubaCoopera #CubaPorLaVida #Cuba,neu,2020-11-26 00:02:55+00:00
RT Genuine public announcements..... #COVID19 #COVIDIOTS #Covid19UK #CovidChristmas #COVIDSecondWave #Bubbleville #christ…,pos,2020-11-26 00:02:48+00:00
#alegre #Navidad2020 #esperanza #2020 #COVID19,neu,2020-11-26 00:05:04+00:00
RT ⚠ RAPPEL #COVID19 #OMFCP,neu,2020-11-26 00:03:58+00:00
#COVID19 #ForaBolsonaroGenocida,neu,2020-11-25 23:54:39+00:00
RT Thank you for the discussion today We share your concerns about #COVID19 and continue to work to regain cont…,neu,2020-11-26 00:05:43+00:00
Who's made $$ during this current bull run Don't forget not everyone is as fortunte as us especially during #COVID19 I challenge our community to donate whatever they can to help people in need eat tomorrow Here's a list of places to donate to 1/,neu,2020-11-26 00:12:54+00:00
If you missed 's excellent #ACEM20 keynote earlier this week on #COVID19 and the future of medical education you can catch the full session on Vimeo below Well worth a look full of pearls https://t.co/qUPA1xbafe,pos,2020-11-26 00:07:21+00:00
#Boom Drop the hammer Pope Francis We live in a world that values the dollar over human life I have this argument with my employer on a daily basis (full disclosure...employer is a #trumper so brain capacity is limited 🤷‍♂️ #COVID19,pos,2020-11-25 23:25:37+00:00
RT _gaba By tomorrow evening 1 out of 10 North Dakotans will have tested positive for #COVID19. By tomorrow evening 1 out of 300…,pos,2020-11-26 00:09:05+00:00
RT 📢¡𝐀𝐬 𝐥 𝐃𝐢𝐣𝐨 🇻🇪 Vicepdta La Comisión Presidencial para la Prevención y Control del #COVID19 informa al pue…,neu,2020-11-26 00:14:48+00:00
#COVID19 reality #MaskUpAmerica https://t.co/DVzKHCmHhF,neu,2020-11-26 00:19:03+00:00
Thanks to for drawing my attention to ’s triptych of sketches about the #COVID19 #pandemic Funny witty and charming but also rather heartfelt and perceptive Worth watching https://t.co/7HUddqMyBJ,pos,2020-11-26 00:08:04+00:00
RT Let’s not forget on the day these relaxed rules were announced 608 people died from #COVID19 We do not need any more t…,pos,2020-11-26 00:08:46+00:00
RT Research for yourself you will figure out what #COVID19 #CovidVaccine #coronavirus #COVIDSecondWave #Covid19Vaccine #Coron…,neu,2020-11-26 00:18:46+00:00
RT Join us next week for an important discussion about WA's plan for #COVID19 vaccine distribution We'll hear from Michele Roberts…,pos,2020-11-26 00:13:13+00:00
Curva de contagios confirmados por #COVID19 en Panamá al 25 de noviembre de 2020 #noticias #panam #ensegundos,neu,2020-11-26 00:24:43+00:00
"Trump's Thanksgiving message ""I encourage all Americans to gather in homes and places of worship to offer a prayer of thanks to God for our many blessings."" #COVID19 https://t.co/ToGIxbsOBH",pos,2020-11-26 00:06:01+00:00
RT Informe #COVID19 l 25 de noviembre: 📍Procesamos 3.136 muestras 987 positivos todos casos comunitarios. 📍Lamentamos inform…,neu,2020-11-26 00:25:01+00:00
#BetterOffWithRachel #MockdownAB #Mockdown #Toronto #FuckYouJasonKenney #RecallKenney #COVIDIOT #ErinOToole #JustinTrudeau #Canada #yyc #yeg #Calgary #Ottawa #COVID19 #abpoli #IStandWithTrudeau #cdnpoli,neu,2020-11-26 00:19:56+00:00
RT Dear K-12 Teachers We value you and want you to feel heard Consider sharing your #COVID19 experience in this research st…,neu,2020-11-26 00:25:29+00:00
BREAKING with more than a thousand new #COVID19 cases &amp 6 dearth in the mayor and the county judge announced a limited curfew starting #Thanksgiving night It’s to limit large gatherings WATCH LIVE,pos,2020-11-26 00:25:41+00:00
RT On Wednesday the Chinese mainland reported 21 new #COVID19 cases including 9 domestically transmitted cases in Inner Mon…,pos,2020-11-26 00:25:43+00:00
RT De dentro da UTI 80 de ocupação #COVID19 #Covid_19 #COVIDSecondWave,neu,2020-11-26 00:26:00+00:00
RT (1/4 SAN MATEO UPDATE: Our San Mateo #COVID19 test site (5200 San Mateo Blvd ABQ will be closed on Thanksgiving Day htt…,neg,2020-11-26 00:29:26+00:00
RT #MurioMaradona Ser cierto que es #Dios Salvar del #COVID19 a las miles de personas que están amontonadas rindiendole…,neu,2020-11-26 00:30:56+00:00
This survey is only for those NOT wanting the #COVID19 #vaccine and employed If your employer requires you to take it what will you do #thanksgiving #Thanksgiving2020 #ThursdayThoughts,neu,2020-11-26 00:34:43+00:00
RT The importance of #SocialDialogue in times of #COVID19 Joint messages on: 📌Keeping factories open 📌Short time work keeping wo…,neu,2020-11-26 00:31:45+00:00
RT #UPDATE NSW has recorded ZERO new cases of #COVID19 including inside hotel quarantine It's now the 19th straight day wit…,pos,2020-11-26 00:34:39+00:00
RT . and don't publish info about #COVID19 cases in #Iowa schools (or deaths of school staff) so…,neu,2020-11-26 00:35:19+00:00
RT What a mess Auditor General says Premier is making all #COVID19 decisions. Ford says he does whatever Chief Medical…,neg,2020-11-26 00:20:24+00:00
RT 📢¡𝐀𝐬 𝐥 𝐃𝐢𝐣𝐨 🇻🇪 Vicepdta La Comisión Presidencial para la Prevención y Control del #COVID19 informa al pue…,neu,2020-11-26 00:23:33+00:00
Colorado State v.s Air Force along with #7 Cincinnati v.s Temple canceled Utah will now play at Washington Saturday Night Lucky’s Losers he always picks the losers #Cincinnati #Temple #AirForce #COVID19 #ColoradoState #COVID #losers,neg,2020-11-26 00:39:07+00:00
RT BREAKING—Wyoming Governor Mark Gordon tests positive for #COVID19 ➡ 4 days ago Same governor forgoes mask mandate htt…,pos,2020-11-26 00:36:45+00:00
#imperialbeach the County has approved additional funding for small businesses impacted by #COVID19 IB restaurants gyms/fitness centers and event industry businesses will have funding available,pos,2020-11-26 00:37:07+00:00
Here's another great resource to help school communities during #COVID19 _News shares information and tools to help students navigate the internet and social media safely with tips for caregivers and families. https://t.co/Y2f5a3dKSr,pos,2020-11-26 00:41:34+00:00
RT Me he tardado un día y medio en encontrarle cama a un paciente con #COVID19 que requiere manejo hospitalario En este…,neu,2020-11-26 00:46:43+00:00
RT Honestie was 14 #COVID19 took her life but her legacy of change will live on In 2017 at 11 she was handcuffed by p…,pos,2020-11-26 00:39:12+00:00
RT ¿Es posible que las pruebas de detección de #COVID19 no sean efectivas ¿En qu consiste la prueba de PCR?🤒👉 https://t.co/hjj…,neu,2020-11-26 00:42:36+00:00
