title,polarity
"भार मे पिछल 24 घंटो मे #COVID19 क 44,059 न मामल आन क बा कु मामलो क संख्य 91,39,866 हुई 511 न मौतो क बा कु मौतो क संख्य 1,33,738 हुई। कु सक्रि मामल 4,43,486 ह ग है 41,024 न डिस्चार् मामलो क बा कु ठी हु मामलो क संख्य 85,62,642 हुई https://t.co/50UVkLQkiF",neu
RT As quienes tratan de contener #COVID19 con tapetes sanitizantes tomas de temperatura en las manos y cubrebocas en la…,neu
RT કોરોન કાળમા ગધેડાઓન ખા સાંભળજો... #COVID19,neu
#COVID1984 #COVID19 #COVID #coronavirus #CoronaVirusUpdates #Corona #SARSCoV2 #SARS_CoV_2,neu
"RT #NY #COVID19 ""The state and city are counting Antigen tests as positives if we didn't we'd be leaving hundreds of thousands…",neu
RT El problema para controlar al #COVID19 es que a pesar d tener un antídoto como el dioxido de cloro el 99 de nuestros médi…,neu
RT [#COVID19 Un numéro vert est votre disposition 24h/24 et 7j/7 : 0 800 130 000. Plus d'informations sur,neu
RT Remember Tim Wilson The Victorian MP who relentlessly attacked Dan Andrews over #COVID19 lock down Well now he wants your #s…,pos
Just in case wait to vaccine healthy health workers. If something goes wrong we might end up in a very big trouble #COVID19 _tx #America,neg
RT More people are testing positive for #COVID19 in South Dakota than are testing negative. And the Governor is doing NOTHING…,pos
RT Remember Tim Wilson The Victorian MP who relentlessly attacked Dan Andrews over #COVID19 lock down Well now he wants your #s…,pos
RT #MyBodyMyChoice only applies when you're the only party affected but when it comes to #masks during the #COVID19 #pandemic…,neu
"RT Let this sink in: Ben Carson Trump’s HUD Secretary was “extremely sick w #COVID19 and became ""desperately ill” ➡️…",neg
RT So evil And he admitted the purpose of releasing #COVID19 #CCPVirus we can catch up with the #US ahead of time we can…,neg
RT _satyarthi Governments allocated over $8 trillion to save businesses &amp rich economies during #COVID19 but only 0.13 went to those m…,pos
RT Disgusting Selfish Ignorant #COVID19 #coronavirus,neg
RT #COVIDIOTS #COVID19 #cdnpoli,neu
RT 𝗦𝗶𝗮𝗽𝗮𝗸𝗮 𝘆𝗮𝗻 𝘁𝗶𝗱𝗮 𝗽𝗲𝗿𝗹 𝗺𝗲𝗺𝗯𝗮𝘆𝗮 𝘂𝗷𝗶𝗮 𝗽𝗲𝗻𝗴𝗲𝘀𝗮𝗻𝗮𝗻 #COVID19 𝗱 𝗳𝗮𝘀𝗶𝗹𝗶𝘁 𝗸𝗲𝗿𝗮𝗷𝗮𝗮𝗻? 1 Penjawat awam yang menjalankan tug…,neu
#BSF न पहल बा कुपवार जिल क तंगधा जिल मे मल्ट स्पेशेलिट मेडिक कैं लगाया। #CovidVaccine #COVID19 #Coronavirus https://t.co/Wqi5gXRr3b,neu
#COVID19,neu
کچ حصو می کورون وائر می ج میوٹیش ہوئ ہ ا ک بع ی مہل وائر بچو کیلئ بھ خطر ب گیا #GNN #GNNupdates #COVID19 #CoronaVirusUpdates #Coronaviruspakistan,neu
RT _Garrett All over NYC yesterday via bike I saw huge blocks-long lines for #COVID19 tests I hope the folks realize a negative t…,pos
RT The threat of #COVID19 is far from ending All our scientists are making great efforts towards developing a vaccine under t…,pos
RT _Rajender Media Bulletin on status of positive cases #COVID19 in Telangana (Dated 23.11.2020) #TelanganaFightsCorona #StayHom…,pos
RT Bailouts and buybacks #COVID19 #fascism no money for Medicare for plenty of money to bailout wall st,neu
Ольг Вила Видяща ангелов Читат н Литмарке https://t.co/vlRwitzV1c #приключени #фэнтез #адекватна героиня #coronavirus #COVID19 #StayHome #writing #Reading #book #fanart #fantasy,neu
ソーシャルディスタンス／ゼロリスクの落とし穴 ～アベノマスクでCOVID-19リスク低減策を考えよう！～ #COVID19 #新型コロナウイルス #Masks4All #布マスク https://t.co/WzPpZvwb9g,neu
Fermeture du collège de #Juniville rdv dans le 7h30 avec l’IADASEN pour faire le point sur la situation en lien avec la crise #COVID19 #info #proximite,neu
had the idea last year to be somewhere in South Amercia on 14 dec 2020 to see the solar eclipse on that day guess i'll have to watch it online instead #COVID19,neu
RT The University of Nebraska Medical Center a leading U.S hospital has been nearly overwhelmed amid surging #COVID19 cases and…,neu
RT क्य देशवासियो क #COVID19 क #vaccine लि 2700 देन पड़ेंग य फ्र मे मिलेग वैक्सीन🤔,neu
RT ICU Update (community hosp) We are now out of #COVID19 ICU beds... Combination of “no more ICU nurses and “no more neg…,neg
In any pandemic effective leadership is critical &amp the first responsibility of the head of any nation is to offer accurate &amp up-to-date information provided by public health experts not agenda-oriented political operatives #COVID19,pos
RT _ La prioridad es atender a los enfermos de #COVID19 pero no dejamos de equipar y contratar personal médico para ampliar…,neu
RT Coronavirus pandemic’s third wave threatens to flood Colorado hospitals via #COVID19 #COE…,neu
#liga788 #hotnews #TrumpIsACriminal #Trending #viral #FYP #TikTok #tantemesum #bacoljilbab #sportsbook #slotonline #deposittanpapulsa #onlineslot #pokeronline #onlinepoker #COVID19,neu
RT #JUSTIN | 3 deaths &amp 602 new #COVID19 cases recorded in #Telangana today Of them 129 recorded in &amp 473 in d…,pos
RT Ini adalah cara bagaimana vaksin berfungsi di dalam tubuh manusia. #COVID19,neu
RT Conferencia de Prensa #COVID19 22 de noviembre de 2020 #GraciasPorCuidarnos,neu
Sheikh Mohammed bin Rashid Al Maktoum speaking at the closing session of the virtual #G20Summit reiterates the importance of collective global action in addressing #COVID19 #DubaiEyeonOne #DubaiOneTv,pos
RT THIS #Georgia has the opportunity to jumpstart a nationwide #COVID19 relief bill if they elect and…,pos
RT 4 Now it’s not 100 perfect but comparing nasal PanBio rapid antigen test vs Nasal PCR #COVID19 test: 📌Sensitivity 98.1%…,pos
Let’s start the week with a few pro-tips. In #MondayMantra our COVID-hero Dr Ramakrishna Prasad shares few measures effective to avoid the risk of the virus spread in water-playgrounds thus ensuring healthy swimming. Call #projectstepone on 97456 97456 for any #COVID19 support,pos
"RT Statistik terkini kematian #COVID19 di Malaysia sehingga 22 Nov 2020 Kadar kematian ialah 0.6 atau bersamaan 1,000 or…",neu
01 each from Polonnaruwa Puttalam Rathnapura Kegalle Matale Trincomalee Monaragala 09 Arrivals 92 Others #lka #COVID19SL #COVID19LK #COVID19 #SriLanka,neu
#FightBack #COVID19 #wewillnotcomply #getoutside #getout #stopthesteal,neu
RT _campu Perd la nariz mientras no pierda el olfato todo bien 👍🏼😊 No bajemos la guardia ante el #COVID19,neu
RT #ÚLTIMAHORA En las últimas 24 horas México sum 9 mil 187 casos nuevos y 303 muertes por #COVID19 para un total de 101 mi…,neu
RT #COVID19 खतर अभ टल नही है कोरोन संक्रम क फैलन स रोकन ह सभ क जिम्मेदार ह इसलि 2 ग क दूर रखने मास्क…,neu
RT _Garrett All over NYC yesterday via bike I saw huge blocks-long lines for #COVID19 tests I hope the folks realize a negative t…,pos
#COVID19 #coronavirus #CoronaVirusUpdates #COVID19India Covid-19 दुनियाभ मे कोरोन संक्रमितो क संख्य 5.85 करोड क पा https://t.co/MXZzgcu6bO,neu
"How can anyone pardon a 250,000 Americans murderer should demand that #Trump first resurrects each and every one of the 250K #COVID19 victims get 250K pardons then maybe they’d have a long discussion on changing the death sentence to a life sentence.",pos
Two doctors weigh in on defeating the pandemic right now... #RapidTesting #COVID19,pos
"RT NCDC confirms 155 new COVID-19 cases as total recoveries exceed 62,000 TheCable #COVID19 https:/…",pos
